Move, Size
4,  2
1,  10
2,  4
1,  10
2,  4
3,  3
1,  10
2,  4
1,  10
2,  4
3,  3
4,  2
1,  10
2,  4
3,  3
1,  10
2,  8
1,  10
2,  6
3,  3
1,  10
2,  6
3,  2
1,  10
2,  6
3,  2
1,  10
2,  6
3,  2
1,  10
2,  6
3,  3
1,  10
2,  8
1,  10
2,  6
3,  2
1,  10
2,  8
1,  10
2,  8
3,  4
4,  3
5,  2
1,  24
2,  8
1,  24
2,  3
3,  2
1,  24
2,  4
1,  24
2,  1
3,  2
1,  24
2,  4
1,  24
2,  1
3,  2
1,  24
2,  6
3,  2
1,  24
2,  4
3,  2
1,  24
2,  4
1,  24
2,  3
3,  2
1,  12
2,  4
3,  2
1,  12
1,  12
1,  12
2,  3
1,  12
2,  4
3,  2
1,  12
1,  12
2,  3
1,  12
2,  4
3,  2
1,  12
2,  4
3,  2
1,  12
2,  4
3,  2
1,  24
2,  8
3,  2
1,  24
2,  4
3,  2
1,  24
2,  3
3,  4
1,  24
2,  8
3,  2
1,  24
2,  3
3,  2
1,  24
2,  3
3,  4
4,  2
1,  24
2,  3
3,  4
1,  24
2,  8
3,  2
1,  24
2,  3
3,  2
1,  24
2,  8
3,  2
1,  24
2,  3
3,  2
1,  24
2,  4
3,  2
1,  24
2,  8
3,  2
1,  24
2,  8
3,  2
1,  24
2,  8
1,  24
2,  2
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
1,  24
2,  2
1,  24
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
2,  4
1,  24
2,  8
1,  24
2,  8
3,  2
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
2,  4
3,  2
1,  24
1,  10
2,  6
3,  2
1,  10
2,  8
3,  4
1,  10
2,  8
1,  10
2,  6
3,  3
4,  2
1,  10
2,  6
3,  3
4,  2
1,  10
2,  6
3,  3
4,  2
1,  10
2,  6
3,  3
4,  2
1,  10
2,  6
1,  10
2,  6
3,  3
1,  10
2,  6
1,  24
2,  8
3,  2
1,  24
2,  4
1,  24
2,  8
3,  2
1,  24
2,  6
1,  24
2,  4
3,  2
1,  24
2,  6
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
2,  8
1,  24
2,  8
3,  2
1,  12
1,  12
1,  12
1,  12
2,  3
3,  2
1,  12
1,  12
1,  12
1,  12
1,  12
1,  12
1,  24
2,  3
3,  2
1,  24
2,  4
1,  24
2,  8
3,  2
1,  24
2,  8
3,  2
1,  24
2,  1
1,  24
2,  2
1,  24
2,  3
3,  2
1,  24
2,  4
1,  24
2,  4
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
2,  4
3,  2
1,  24
2,  4
3,  2
1,  24
2,  8
3,  2
1,  24
2,  1
3,  2
1,  24
2,  3
3,  2
4,  2
1,  24
2,  4
3,  2
1,  24
2,  8
3,  2
1,  24
2,  8
3,  2
1,  24
2,  1
3,  2
1,  24
2,  2
1,  24
2,  2
1,  24
2,  2
1,  24
2,  3
3,  2
1,  24
2,  4
3,  2
1,  24
2,  4
1,  24
2,  4
1,  24
2,  3
3,  2
1,  24
2,  4
1,  24
2,  4
3,  2
1,  10
2,  8
1,  10
2,  6
3,  3
4,  2
1,  10
2,  6
1,  10
2,  6
3,  3
4,  2
1,  10
2,  8
1,  10
2,  6
3,  2
1,  10
2,  8
3,  3
4,  2
1,  10
2,  8
3,  4
4,  3
5,  2
1,  10
2,  6
3,  2
1,  10
2,  6
1,  24
2,  4
1,  24
2,  4
1,  24
2,  3
3,  2
1,  24
2,  3
3,  2
1,  24
2,  8
1,  24
2,  4
1,  24
2,  4
3,  2
1,  24
2,  4
1,  24
2,  4
1,  24
2,  4
1,  12
2,  4
1,  12
2,  4
1,  12
1,  12
2,  3
1,  12
1,  12
1,  12
2,  3
3,  2
1,  12
2,  4
1,  12
2,  3
3,  2
1,  12
2,  4
1,  24
2,  8
1,  24
2,  4
1,  24
2,  2
1,  24
2,  4
3,  2
1,  24
1,  24
2,  3
3,  2
1,  24
2,  4
3,  2
1,  24
2,  4
1,  24
1,  24
2,  4
3,  2
1,  24
2,  1
1,  24
2,  1
1,  24
2,  3
3,  2
1,  24
2,  4
1,  24
2,  8
3,  2
1,  24
2,  4
1,  24
2,  2
1,  24
2,  4
3,  2
1,  24
1,  24
2,  3
1,  24
2,  4
3,  2
1,  24
2,  8
3,  2
1,  24
2,  3
3,  2
1,  24
2,  4
3,  2
1,  24
2,  1
3,  2
1,  24
2,  1
3,  2
1,  24
2,  6
1,  24
2,  3
3,  2
1,  24
2,  8
3,  2
1,  24
2,  4
3,  2
1,  12
2,  4
1,  12
2,  4
1,  12
2,  4
1,  12
2,  4
1,  12
2,  4
3,  2
1,  12
2,  4
3,  2
1,  12
2,  4
3,  2
1,  12
2,  4
1,  12
2,  4
1,  12
2,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  4
1,  74
2,  5
3,  3
4,  2
1,  74
2,  8
3,  2
1,  74
2,  5
3,  4
4,  3
1,  74
2,  7
1,  74
2,  4
3,  2
1,  74
2,  6
1,  74
2,  4
3,  2
1,  74
2,  2
3,  2
1,  74
2,  8
3,  2
1,  74
2,  8
3,  2
1,  74
2,  4
1,  74
2,  7
3,  3
4,  2
1,  74
2,  4
1,  74
2,  2
1,  74
2,  2
1,  74
2,  5
1,  74
2,  2
1,  74
2,  2
1,  74
2,  8
3,  2
1,  74
2,  4
3,  2
1,  74
2,  2
3,  2
1,  74
2,  2
1,  74
2,  2
3,  2
1,  74
2,  8
3,  2
1,  74
2,  5
3,  3
4,  2
1,  74
2,  7
1,  74
2,  7
1,  74
2,  4
3,  2
1,  74
2,  7
3,  2
1,  74
2,  2
1,  74
2,  2
1,  74
2,  7
1,  74
2,  7
3,  2
1,  74
2,  8
3,  2
1,  74
2,  8
1,  74
2,  7
3,  3
4,  2
1,  74
2,  8
3,  2
1,  74
2,  5
1,  74
2,  4
1,  74
2,  2
3,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  4
2,  2
1,  74
2,  4
3,  3
1,  74
2,  8
3,  2
1,  74
2,  4
3,  3
4,  2
1,  74
1,  74
2,  6
3,  3
4,  2
1,  74
2,  4
3,  3
4,  2
1,  74
2,  2
3,  2
1,  74
2,  8
3,  2
1,  74
2,  8
3,  2
1,  74
2,  8
3,  2
